Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,874000000.0,4540000.0,0.0,30000.0,0.0,852000.0,0.0,7060.0,6.98
BUENOS AIRES,25 de Mayo,Del Valle,6854020,181000000.0,0.0,0.0,0.0,10000.0,1000.0,0.0,0.0,192.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1810.0,181.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,0.0,78200000.0,0.0,60000.0,167000.0,0.0,0.0,3270.0,1.28
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,6.0
BUENOS AIRES,25 de Mayo,Ernestina,6854030,66000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0
BUENOS AIRES,25 de Mayo,Pedernales,6854070,568000000.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,575.0
BUENOS AIRES,9 de Julio,12 de Octubre,6588030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,19.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100,43100000.0,3350000.0,820000.0,623000.0,83000.0,1000.0,0.0,8310.0,14.89
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,450000000.0,0.0,0.0,0.0,60000.0,0.0,0.0,0.0,510.0
BUENOS AIRES,9 de Julio,Dudignac,6588040,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,4630.0,464.0
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,199000000.0,0.0,0.0,20000.0,2000.0,0.0,0.0,0.0,203.0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,0.0,0.0,0.0,1180000.0,0.0,0.0,0.0,420.0,160.0
BUENOS AIRES,9 de Julio,Patricios,6588110,81000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,780000000.0,0.0,10000.0,142000.0,1000.0,0.0,0.0,2830.0,2.48
BUENOS AIRES,Adolfo Alsina,Maza,6007070,0.0,0.0,0.0,3900000.0,0.0,2000.0,0.0,140.0,406.0
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,1.2
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,0.0,0.0,0.0,2080000.0,0.0,0.0,0.0,0.0,208.0
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,60.0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,549000000.0,0.0,20000.0,9430000.0,0.0,0.0,0.0,3130.0,1.81
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,0.0,0.0,0.0,6540000.0,6000.0,0.0,0.0,570.0,717.0
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,46.0
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,14.0
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,457000000.0,0.0,60000.0,10000.0,0.0,0.0,0.0,80.0,472.0
BUENOS AIRES,Alberti,Mechita,6021030,285000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,214000000.0,930000.0,590000.0,1144000.0,2000.0,1000.0,0.0,260.0,21.04
BUENOS AIRES,Almirante Brown,Burzaco,6028010,142000000.0,16630000.0,350000.0,1133000.0,40000.0,2000.0,0.0,3100.0,28.49
BUENOS AIRES,Almirante Brown,Claypole,6028010,5000000.0,7650000.0,30000.0,414000.0,13000.0,0.0,0.0,20.0,11.81
BUENOS AIRES,Almirante Brown,Don Orione,6028010,0.0,5410000.0,0.0,0.0,0.0,0.0,0.0,10.0,5.41
