,Provincia,Partido,Localidad,ADSL,Cablemódem,Dial Up,Fibra óptica,4G,3G,Telefonía Fija,Wireless,Satelital
0,BUENOS AIRES,9 de Julio,Alfredo Demarchi (Est. Facundo Quiroga),SI,--,--,--,SI,SI,SI,--,--
1,BUENOS AIRES,9 de Julio,Carlos María Naón,--,--,--,--,SI,SI,SI,--,--
2,BUENOS AIRES,9 de Julio,Dudignac,--,--,SI,--,SI,SI,SI,SI,--
3,BUENOS AIRES,9 de Julio,La Aurora (Est. La Niña),--,--,--,--,SI,--,--,--,--
4,BUENOS AIRES,9 de Julio,Manuel B. Gonnet (Est. French),SI,--,--,SI,SI,SI,SI,--,--
5,BUENOS AIRES,9 de Julio,Marcelino Ugarte (Est. Dennehy),--,--,--,--,SI,--,SI,--,--
6,BUENOS AIRES,9 de Julio,Morea,--,--,--,--,--,--,SI,SI,--
7,BUENOS AIRES,9 de Julio,Norumbega,--,--,--,--,--,--,SI,--,--
8,BUENOS AIRES,9 de Julio,Patricios,SI,--,--,--,--,SI,SI,SI,--
9,BUENOS AIRES,9 de Julio,Villa General Fournier (Est. 9 de Julio Sud),--,--,--,SI,SI,SI,SI,SI,--
10,BUENOS AIRES,Adolfo Alsina,Carhué,SI,--,SI,SI,SI,SI,SI,SI,--
11,BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,--,--,--,SI,SI,--,SI,--,--
12,BUENOS AIRES,Adolfo Alsina,Delfín Huergo,--,--,--,--,--,--,--,--,--
13,BUENOS AIRES,Adolfo Alsina,Espartillar,--,--,--,--,SI,--,--,--,--
14,BUENOS AIRES,Azul,Ariel,--,--,--,--,SI,--,--,--,--
15,BUENOS AIRES,Azul,Azul,SI,SI,SI,SI,SI,SI,SI,SI,SI
16,BUENOS AIRES,Azul,Cacharí,--,--,SI,--,SI,SI,SI,SI,--
17,BUENOS AIRES,Azul,Chillar,--,--,--,--,SI,SI,SI,SI,SI
18,BUENOS AIRES,Bahía Blanca,Bahía Blanca,SI,SI,SI,SI,SI,SI,SI,SI,SI
19,BUENOS AIRES,Bahía Blanca,Cabildo,--,SI,SI,SI,SI,SI,SI,SI,--
20,BUENOS AIRES,Bahía Blanca,General Daniel Cerri (Est. General Cerri),SI,SI,SI,SI,SI,SI,SI,SI,--
21,BUENOS AIRES,Bahía Blanca,Grunbein,--,--,--,--,SI,SI,--,--,--
22,BUENOS AIRES,Bahía Blanca,Ingeniero White,--,--,--,SI,SI,SI,--,--,SI
23,BUENOS AIRES,General Pueyrredón,Chapadmalal,SI,--,--,SI,SI,SI,SI,SI,SI
24,BUENOS AIRES,General Pueyrredón,El Marquesado,--,--,--,--,--,--,SI,SI,--
25,BUENOS AIRES,General Pueyrredón,Estacion Camet,--,--,--,--,SI,SI,--,--,--
26,BUENOS AIRES,General Pueyrredón,Estación Chapadmalal,SI,--,--,SI,SI,SI,--,SI,--
27,BUENOS AIRES,General Pueyrredón,Mar del Plata,SI,SI,SI,SI,SI,SI,SI,SI,SI
28,BUENOS AIRES,General Pueyrredón,Punta Mogotes,--,--,--,--,SI,SI,--,--,--
29,BUENOS AIRES,General Pueyrredón,Sierra de los Padres,SI,--,--,SI,SI,SI,SI,SI,--
30,BUENOS AIRES,General Rodríguez,Barrio Ruta 24 Kilómetro 10,--,--,--,SI,SI,SI,--,--,--
31,BUENOS AIRES,General Rodríguez,Country Club Bosque Real - Barrio Morabo,--,--,--,--,SI,SI,--,--,--
32,BUENOS AIRES,Pellegrini,Pellegrini,SI,SI,SI,--,SI,SI,SI,SI,SI
33,BUENOS AIRES,Pergamino,Acevedo,SI,SI,--,--,SI,SI,SI,SI,--
34,BUENOS AIRES,Pergamino,Fontezuela,SI,--,--,SI,--,--,SI,SI,--
35,BUENOS AIRES,Pergamino,Guerrico,--,SI,--,--,SI,SI,--,SI,SI
36,BUENOS AIRES,Pergamino,Juan A. de la Peña,--,--,--,--,--,--,--,SI,--
37,BUENOS AIRES,Pergamino,Juan Anchorena (Est. Urquiza),SI,--,--,SI,SI,SI,SI,SI,--
38,BUENOS AIRES,Pergamino,La Violeta,SI,--,--,--,SI,SI,SI,--,--
39,BUENOS AIRES,Pergamino,Manuel Ocampo,--,--,--,SI,SI,SI,SI,SI,--
